20:01:14.236 [main] INFO  c.l.s.SpringbootDemoApplication - Starting SpringbootDemoApplication using Java 1.8.0_391 on lizhankangdebijibendiannao.local with PID 6698 (/Users/lizhankang/privateProjects/javaProjects/springboot-demo/target/classes started by lizhankang in /Users/lizhankang/privateProjects/javaProjects/springboot-demo)
20:01:14.238 [main] INFO  c.l.s.SpringbootDemoApplication - No active profile set, falling back to 1 default profile: "default"
20:01:14.592 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
20:01:14.594 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
20:01:14.595 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
20:01:14.595 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
20:01:14.651 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
20:01:14.651 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 385 ms
20:01:14.748 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
20:01:14.779 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
20:01:14.790 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
20:01:14.795 [main] INFO  c.l.s.SpringbootDemoApplication - Started SpringbootDemoApplication in 0.744 seconds (JVM running for 0.951)
20:01:19.747 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
20:01:19.747 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
20:01:19.749 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
20:01:19.765 [http-nio-8080-exec-1] INFO  c.l.s.c.SpringBootDemoController - ======测试日志info级别打印=====
20:01:19.765 [http-nio-8080-exec-1] ERROR c.l.s.c.SpringBootDemoController - =====测试日志error级别打印====
20:01:19.765 [http-nio-8080-exec-1] WARN  c.l.s.c.SpringBootDemoController - ======测试日志warn级别打印=====
20:01:19.766 [http-nio-8080-exec-1] INFO  c.l.s.c.SpringBootDemoController - ======测试：blog.itcodai.com
23:00:57.006 [main] INFO  c.l.s.SpringbootDemoApplication - Starting SpringbootDemoApplication using Java 1.8.0_391 on lizhankangdebijibendiannao.local with PID 10863 (/Users/lizhankang/privateProjects/javaProjects/springboot-demo/target/classes started by lizhankang in /Users/lizhankang/privateProjects/javaProjects/springboot-demo)
23:00:57.008 [main] INFO  c.l.s.SpringbootDemoApplication - No active profile set, falling back to 1 default profile: "default"
23:00:57.364 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
23:00:57.368 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23:00:57.368 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
23:00:57.368 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
23:00:57.430 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:00:57.431 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 405 ms
23:00:57.525 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
23:00:57.557 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23:00:57.569 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
23:00:57.574 [main] INFO  c.l.s.SpringbootDemoApplication - Started SpringbootDemoApplication in 0.753 seconds (JVM running for 0.979)
23:01:09.395 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23:01:09.395 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
23:01:09.396 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
23:01:09.408 [http-nio-8080-exec-1] INFO  c.l.s.c.SpringBootDemoController - =====获取的订单服务地址为：http://localhost:8002
23:01:09.409 [http-nio-8080-exec-1] INFO  c.l.s.c.SpringBootDemoController - =====说明我们成功获取到了配置文件中的订单微服务地址=======
23:02:34.569 [main] INFO  c.l.s.SpringbootDemoApplication - Starting SpringbootDemoApplication using Java 1.8.0_391 on lizhankangdebijibendiannao.local with PID 10966 (/Users/lizhankang/privateProjects/javaProjects/springboot-demo/target/classes started by lizhankang in /Users/lizhankang/privateProjects/javaProjects/springboot-demo)
23:02:34.570 [main] INFO  c.l.s.SpringbootDemoApplication - No active profile set, falling back to 1 default profile: "default"
23:02:34.906 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
23:02:34.908 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23:02:34.909 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
23:02:34.909 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
23:02:34.963 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:02:34.963 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 375 ms
